Name,Isaac Benton,Brad Winter,Ken Sanchez,Klarissa J. Pena,Dan Lewis,Patrick Davis,Diane G. Gibson,Trudy E. Jones,Don Harris,Cynthia D. Borrego
District,,,,,,,,,,
Years_Active,[],[],[],[],[],[],[],[],[],[]
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=16713219&GUID=81204A64-597C-4957-8382-C27F0AEBB9ED|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718442&GUID=A033B98F-EB2C-45EE-B02C-5B8158CB8BA1|Excused,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718442&GUID=A033B98F-EB2C-45EE-B02C-5B8158CB8BA1|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718442&GUID=A033B98F-EB2C-45EE-B02C-5B8158CB8BA1|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14899533&GUID=743E8DFD-1EB6-4746-987A-CEB83E44AC28|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718441&GUID=72E0812E-572A-4C12-A0C9-7AECB6716B7B|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718442&GUID=A033B98F-EB2C-45EE-B02C-5B8158CB8BA1|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718442&GUID=A033B98F-EB2C-45EE-B02C-5B8158CB8BA1|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789339&GUID=2720F31F-A354-4AD1-A55D-303BCDC6B008|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=15399237&GUID=F7B21447-A4B5-4149-9535-A817FF4C1A1B|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718441&GUID=72E0812E-572A-4C12-A0C9-7AECB6716B7B|Excused,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718441&GUID=72E0812E-572A-4C12-A0C9-7AECB6716B7B|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718441&GUID=72E0812E-572A-4C12-A0C9-7AECB6716B7B|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718442&GUID=A033B98F-EB2C-45EE-B02C-5B8158CB8BA1|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=16713219&GUID=81204A64-597C-4957-8382-C27F0AEBB9ED|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718441&GUID=72E0812E-572A-4C12-A0C9-7AECB6716B7B|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718441&GUID=72E0812E-572A-4C12-A0C9-7AECB6716B7B|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989202&GUID=8D03009A-9E46-44FC-A5AF-E90C1045DA26|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333577&GUID=3758461F-A6A0-4F2E-8EF5-4E982ED44A3F|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=16713219&GUID=81204A64-597C-4957-8382-C27F0AEBB9ED|Excused,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=16713219&GUID=81204A64-597C-4957-8382-C27F0AEBB9ED|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=16713219&GUID=81204A64-597C-4957-8382-C27F0AEBB9ED|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718441&GUID=72E0812E-572A-4C12-A0C9-7AECB6716B7B|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=15399237&GUID=F7B21447-A4B5-4149-9535-A817FF4C1A1B|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=16713219&GUID=81204A64-597C-4957-8382-C27F0AEBB9ED|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=16713219&GUID=81204A64-597C-4957-8382-C27F0AEBB9ED|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948579&GUID=358CB4E4-49AC-478B-9BD8-3087D509C05D|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320332&GUID=21D4BEE8-D46D-4E8B-BE85-53580673A1F4|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=15399237&GUID=F7B21447-A4B5-4149-9535-A817FF4C1A1B|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=15399237&GUID=F7B21447-A4B5-4149-9535-A817FF4C1A1B|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=15399237&GUID=F7B21447-A4B5-4149-9535-A817FF4C1A1B|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=16713219&GUID=81204A64-597C-4957-8382-C27F0AEBB9ED|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333577&GUID=3758461F-A6A0-4F2E-8EF5-4E982ED44A3F|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=15399237&GUID=F7B21447-A4B5-4149-9535-A817FF4C1A1B|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=15399237&GUID=F7B21447-A4B5-4149-9535-A817FF4C1A1B|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=16230816&GUID=BBD505F0-0D01-439E-9457-E2AF83C8877A|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=13651183&GUID=26FEF73C-6215-4B0D-AA17-2A4D9DAFE4E4|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333577&GUID=3758461F-A6A0-4F2E-8EF5-4E982ED44A3F|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333577&GUID=3758461F-A6A0-4F2E-8EF5-4E982ED44A3F|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333577&GUID=3758461F-A6A0-4F2E-8EF5-4E982ED44A3F|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=15399237&GUID=F7B21447-A4B5-4149-9535-A817FF4C1A1B|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=15200935&GUID=59F5C1B9-6777-4A65-A104-83B3DBF2A35F|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333577&GUID=3758461F-A6A0-4F2E-8EF5-4E982ED44A3F|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333577&GUID=3758461F-A6A0-4F2E-8EF5-4E982ED44A3F|Excused,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=16025548&GUID=F5B51264-327D-45F3-BA77-1DB6D4C5E0F6|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789339&GUID=2720F31F-A354-4AD1-A55D-303BCDC6B008|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=15200935&GUID=59F5C1B9-6777-4A65-A104-83B3DBF2A35F|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=15200935&GUID=59F5C1B9-6777-4A65-A104-83B3DBF2A35F|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=15200935&GUID=59F5C1B9-6777-4A65-A104-83B3DBF2A35F|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333577&GUID=3758461F-A6A0-4F2E-8EF5-4E982ED44A3F|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320332&GUID=21D4BEE8-D46D-4E8B-BE85-53580673A1F4|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=15200935&GUID=59F5C1B9-6777-4A65-A104-83B3DBF2A35F|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=15200935&GUID=59F5C1B9-6777-4A65-A104-83B3DBF2A35F|Excused,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=17158306&GUID=7365BF7B-D34D-42EC-BBB1-3F8714999428|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989202&GUID=8D03009A-9E46-44FC-A5AF-E90C1045DA26|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320332&GUID=21D4BEE8-D46D-4E8B-BE85-53580673A1F4|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320332&GUID=21D4BEE8-D46D-4E8B-BE85-53580673A1F4|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320332&GUID=21D4BEE8-D46D-4E8B-BE85-53580673A1F4|Excused,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320332&GUID=21D4BEE8-D46D-4E8B-BE85-53580673A1F4|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=13651183&GUID=26FEF73C-6215-4B0D-AA17-2A4D9DAFE4E4|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320332&GUID=21D4BEE8-D46D-4E8B-BE85-53580673A1F4|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320332&GUID=21D4BEE8-D46D-4E8B-BE85-53580673A1F4|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903316&GUID=ED07F89D-3DF5-4960-9568-1DAB9D6A6CBB|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=13183563&GUID=42392BC3-3E47-4BBA-80C2-DF3F75CF3E36|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=14248217&GUID=F05639B8-D73F-4350-9161-4AC8D4178E07|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=14248217&GUID=F05639B8-D73F-4350-9161-4AC8D4178E07|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=14248217&GUID=F05639B8-D73F-4350-9161-4AC8D4178E07|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14248217&GUID=F05639B8-D73F-4350-9161-4AC8D4178E07|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789339&GUID=2720F31F-A354-4AD1-A55D-303BCDC6B008|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=13651183&GUID=26FEF73C-6215-4B0D-AA17-2A4D9DAFE4E4|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=14248217&GUID=F05639B8-D73F-4350-9161-4AC8D4178E07|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903523&GUID=CB1EC16D-4337-40BD-9139-FEC80CFA5E24|Against
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948579&GUID=358CB4E4-49AC-478B-9BD8-3087D509C05D|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=14213182&GUID=CC244E02-D96B-4AA3-8B95-3F8B32ADFEF5|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=14213182&GUID=CC244E02-D96B-4AA3-8B95-3F8B32ADFEF5|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=14213182&GUID=CC244E02-D96B-4AA3-8B95-3F8B32ADFEF5|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14213182&GUID=CC244E02-D96B-4AA3-8B95-3F8B32ADFEF5|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989202&GUID=8D03009A-9E46-44FC-A5AF-E90C1045DA26|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=13557566&GUID=626E17D9-A38A-4C7D-A056-E077401E2A8D|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=14213182&GUID=CC244E02-D96B-4AA3-8B95-3F8B32ADFEF5|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=17870125&GUID=DA0FA4A0-F9F4-46BA-B325-C84B2429A902|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=16230816&GUID=BBD505F0-0D01-439E-9457-E2AF83C8877A|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=13651183&GUID=26FEF73C-6215-4B0D-AA17-2A4D9DAFE4E4|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=13651183&GUID=26FEF73C-6215-4B0D-AA17-2A4D9DAFE4E4|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=13651183&GUID=26FEF73C-6215-4B0D-AA17-2A4D9DAFE4E4|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=13651183&GUID=26FEF73C-6215-4B0D-AA17-2A4D9DAFE4E4|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=13183563&GUID=42392BC3-3E47-4BBA-80C2-DF3F75CF3E36|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789339&GUID=2720F31F-A354-4AD1-A55D-303BCDC6B008|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=13651183&GUID=26FEF73C-6215-4B0D-AA17-2A4D9DAFE4E4|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=17774083&GUID=7D2B5459-394F-47A9-8D88-2AAA99FAF854|Against
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=17158306&GUID=7365BF7B-D34D-42EC-BBB1-3F8714999428|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=13557566&GUID=626E17D9-A38A-4C7D-A056-E077401E2A8D|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=13557566&GUID=626E17D9-A38A-4C7D-A056-E077401E2A8D|Excused,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=13557566&GUID=626E17D9-A38A-4C7D-A056-E077401E2A8D|Excused,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=13557566&GUID=626E17D9-A38A-4C7D-A056-E077401E2A8D|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948579&GUID=358CB4E4-49AC-478B-9BD8-3087D509C05D|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989202&GUID=8D03009A-9E46-44FC-A5AF-E90C1045DA26|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=13557566&GUID=626E17D9-A38A-4C7D-A056-E077401E2A8D|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=14637850&GUID=B1E6E17C-B7E2-41EB-BD33-028583500970|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903316&GUID=ED07F89D-3DF5-4960-9568-1DAB9D6A6CBB|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789339&GUID=2720F31F-A354-4AD1-A55D-303BCDC6B008|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789339&GUID=2720F31F-A354-4AD1-A55D-303BCDC6B008|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789339&GUID=2720F31F-A354-4AD1-A55D-303BCDC6B008|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789339&GUID=2720F31F-A354-4AD1-A55D-303BCDC6B008|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=16230816&GUID=BBD505F0-0D01-439E-9457-E2AF83C8877A|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=13183563&GUID=42392BC3-3E47-4BBA-80C2-DF3F75CF3E36|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789339&GUID=2720F31F-A354-4AD1-A55D-303BCDC6B008|Excused,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=16230817&GUID=D5EF821F-A685-4FBA-9C7E-905AF64AA767|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903523&GUID=CB1EC16D-4337-40BD-9139-FEC80CFA5E24|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989202&GUID=8D03009A-9E46-44FC-A5AF-E90C1045DA26|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989202&GUID=8D03009A-9E46-44FC-A5AF-E90C1045DA26|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989202&GUID=8D03009A-9E46-44FC-A5AF-E90C1045DA26|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989202&GUID=8D03009A-9E46-44FC-A5AF-E90C1045DA26|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=16025548&GUID=F5B51264-327D-45F3-BA77-1DB6D4C5E0F6|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948579&GUID=358CB4E4-49AC-478B-9BD8-3087D509C05D|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989202&GUID=8D03009A-9E46-44FC-A5AF-E90C1045DA26|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=14541644&GUID=BA24B13A-A9D2-4A1A-A634-91A6BCD4964B|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=17870125&GUID=DA0FA4A0-F9F4-46BA-B325-C84B2429A902|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=13183563&GUID=42392BC3-3E47-4BBA-80C2-DF3F75CF3E36|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=13183563&GUID=42392BC3-3E47-4BBA-80C2-DF3F75CF3E36|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=13183563&GUID=42392BC3-3E47-4BBA-80C2-DF3F75CF3E36|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=13183563&GUID=42392BC3-3E47-4BBA-80C2-DF3F75CF3E36|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=17158306&GUID=7365BF7B-D34D-42EC-BBB1-3F8714999428|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=16230816&GUID=BBD505F0-0D01-439E-9457-E2AF83C8877A|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=13183563&GUID=42392BC3-3E47-4BBA-80C2-DF3F75CF3E36|For,
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=17774083&GUID=7D2B5459-394F-47A9-8D88-2AAA99FAF854|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948579&GUID=358CB4E4-49AC-478B-9BD8-3087D509C05D|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948579&GUID=358CB4E4-49AC-478B-9BD8-3087D509C05D|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948579&GUID=358CB4E4-49AC-478B-9BD8-3087D509C05D|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948579&GUID=358CB4E4-49AC-478B-9BD8-3087D509C05D|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903316&GUID=ED07F89D-3DF5-4960-9568-1DAB9D6A6CBB|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=17158306&GUID=7365BF7B-D34D-42EC-BBB1-3F8714999428|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948579&GUID=358CB4E4-49AC-478B-9BD8-3087D509C05D|For,
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=13651182&GUID=76428CAA-98F2-494A-9CC3-B75E203A65DF|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=16230816&GUID=BBD505F0-0D01-439E-9457-E2AF83C8877A|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=16230816&GUID=BBD505F0-0D01-439E-9457-E2AF83C8877A|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=16230816&GUID=BBD505F0-0D01-439E-9457-E2AF83C8877A|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=16230816&GUID=BBD505F0-0D01-439E-9457-E2AF83C8877A|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903523&GUID=CB1EC16D-4337-40BD-9139-FEC80CFA5E24|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903316&GUID=ED07F89D-3DF5-4960-9568-1DAB9D6A6CBB|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=16230816&GUID=BBD505F0-0D01-439E-9457-E2AF83C8877A|For,
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=14637850&GUID=B1E6E17C-B7E2-41EB-BD33-028583500970|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=16025548&GUID=F5B51264-327D-45F3-BA77-1DB6D4C5E0F6|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=16025548&GUID=F5B51264-327D-45F3-BA77-1DB6D4C5E0F6|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=16025548&GUID=F5B51264-327D-45F3-BA77-1DB6D4C5E0F6|Excused,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=17158306&GUID=7365BF7B-D34D-42EC-BBB1-3F8714999428|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=17870125&GUID=DA0FA4A0-F9F4-46BA-B325-C84B2429A902|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903523&GUID=CB1EC16D-4337-40BD-9139-FEC80CFA5E24|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=16025548&GUID=F5B51264-327D-45F3-BA77-1DB6D4C5E0F6|For,
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=13651063&GUID=3BD2F4AE-CBF1-46BF-BC4A-BBF5EC891196|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=17158306&GUID=7365BF7B-D34D-42EC-BBB1-3F8714999428|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=17158306&GUID=7365BF7B-D34D-42EC-BBB1-3F8714999428|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=17158306&GUID=7365BF7B-D34D-42EC-BBB1-3F8714999428|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903316&GUID=ED07F89D-3DF5-4960-9568-1DAB9D6A6CBB|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=17774083&GUID=7D2B5459-394F-47A9-8D88-2AAA99FAF854|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=17870125&GUID=DA0FA4A0-F9F4-46BA-B325-C84B2429A902|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=17158306&GUID=7365BF7B-D34D-42EC-BBB1-3F8714999428|For,
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=16230817&GUID=D5EF821F-A685-4FBA-9C7E-905AF64AA767|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903316&GUID=ED07F89D-3DF5-4960-9568-1DAB9D6A6CBB|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903316&GUID=ED07F89D-3DF5-4960-9568-1DAB9D6A6CBB|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903316&GUID=ED07F89D-3DF5-4960-9568-1DAB9D6A6CBB|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903523&GUID=CB1EC16D-4337-40BD-9139-FEC80CFA5E24|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=13651182&GUID=76428CAA-98F2-494A-9CC3-B75E203A65DF|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=17774083&GUID=7D2B5459-394F-47A9-8D88-2AAA99FAF854|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903316&GUID=ED07F89D-3DF5-4960-9568-1DAB9D6A6CBB|For,
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=14541644&GUID=BA24B13A-A9D2-4A1A-A634-91A6BCD4964B|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903523&GUID=CB1EC16D-4337-40BD-9139-FEC80CFA5E24|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903523&GUID=CB1EC16D-4337-40BD-9139-FEC80CFA5E24|Against,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903523&GUID=CB1EC16D-4337-40BD-9139-FEC80CFA5E24|Against,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=17870125&GUID=DA0FA4A0-F9F4-46BA-B325-C84B2429A902|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=14637850&GUID=B1E6E17C-B7E2-41EB-BD33-028583500970|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=13651182&GUID=76428CAA-98F2-494A-9CC3-B75E203A65DF|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=17903523&GUID=CB1EC16D-4337-40BD-9139-FEC80CFA5E24|For,
,,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=17870125&GUID=DA0FA4A0-F9F4-46BA-B325-C84B2429A902|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=17870125&GUID=DA0FA4A0-F9F4-46BA-B325-C84B2429A902|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=17870125&GUID=DA0FA4A0-F9F4-46BA-B325-C84B2429A902|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=17774083&GUID=7D2B5459-394F-47A9-8D88-2AAA99FAF854|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=13651063&GUID=3BD2F4AE-CBF1-46BF-BC4A-BBF5EC891196|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=13557565&GUID=B141A757-89E2-4153-84A9-E07911916A05|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=17870125&GUID=DA0FA4A0-F9F4-46BA-B325-C84B2429A902|For,
